index,Prompt,Generated Code GPT-2,Generated Code BART,Generated Code Mistral,Actual Code
10,This applet appends new favorite Tweets to a stream in a data.world dataset.,"This applet appends new favorite Tweets to a stream in a data.world dataset.
###
Code:
var tweet = Twitter.newFavoriteTweetByUser.Text  var title = tweet.indexOf( '#FavoriteTweetByUser' ).toLowerCase()    if (title.indexOf( '#FavoriteTweetByUser' ) < 0 ) {                                                ","const tweet = Twitter.newFavoriteTweet.format('dddd').toLowerCase() const pairs = Object.getOwnPropertyNames(Tweet).map(prop => prop + '|||' + tweet[prop]) Datadotworld.append.setPayload(pairs.join(""|||""))","This applet appends new favorite Tweets to a stream in a data.world dataset.
###
var tweet = Twitter.newFavoriteTweet.Text; Datadotworld.appendToDataset.setPayload(JSON.stringify({""FavoriteTweet"": tweet}));","const tweet = (Twitter.newFavoriteTweet as any) const pairs = Object.getOwnPropertyNames(Twitter.newFavoriteTweet).map(prop => prop + ""||"" + tweet[prop]) Datadotworld.append.setPayload(pairs.join(""|||""))"
11,Report yesterday's rainfall measurement from your Netatmo device to Netro. Netro will use it to update schedules.,"Report yesterday's rainfall measurement from your Netatmo device to Netro. Netro will use it to update schedules.
###
Code:
if (Netro.currentWeather[0].currentTime.locale('en').isoWeekday() >= 22) {   Netro.updateWeather[Netro.currentWeather[0].currentTime.locale('en').isoWeekday()].skip() } else {   Netro.updateWeather[Netro.currentWeather[0].currentTime.locale('en').isoWeekday()].skip() } Netro.setLocation(",if (parseFloat(Netatmo.rainYesterdayMeasuredRainfall.RainfallMM)<0) {   Netro.setWeather.skip() },"Report yesterday's rainfall measurement from your Netatmo device to Netro. Netro will use it to update schedules.
###
var measurement = parseFloat(Netatmo.rainTodaySinceMidnight.MeanValueInMillimeters);  var report = ""The average rainfall today was "" + measurement + "" millimeters. ""  Netro.setPublicSchedule.setReport(report);  Netro.setPublicSchedule.skip();  ###","Netro.reportWeather.setDate(Netatmo.rainYesterdayAmount.MeasuredAt) Netro.reportWeather.setRain(Netatmo.rainYesterdayAmount.MeasuredRainfallMM) Netro.reportWeather.setRainProb(""100"")"
12,"Whenever you come home, this Applet turns on your Govee lights unless it's currently sunny.","Whenever you come home, this Applet turns on your Govee lights unless it's currently sunny.
###
Code:
var timeOfDay = Meta.currentUserTime.hour()  if (timeOfDay >= 22 || timeOfDay < 8 ) {     IfNotifications.sendNotification.skip(""Outside of morning hours"") }  else {     Govee.turnOnDiscrete.skip(""Not a weekday"") }   } else {     Govee.turnOnDiscrete.skip(""Not working hours"") }  }  else",let sunrise = moment(Weather.currentWeather[0].SunriseAt); let sunset = moment(); let currentTime = Meta.currentUserTime; let afterSunrise = currentTime.isAfter(sunrise); let beforeSunset = currentWeather.isBefore(sunset);  if (afterSunrise && beforeSunsets) {   Govee.turnOnAllHue.skip(`Its still daytime so we're leaving the lights off`); },"Whenever you come home, this Applet turns on your Govee lights unless it's currently sunny.
###
var hour = Meta.currentUserTime.hour()  if (hour > 16 || hour < 8) {   Govee.poweron.skip(""Its still daytime, let's save some energy!"") } else {   Govee.poweron.setScene('comeHome') }",let sunrise = moment(Weather.currentWeather[0].SunriseAt); let sunset = moment(Weather.currentWeather[0].SunsetAt); let currentTime = Meta.currentUserTime; let afterSunrise = currentTime.isAfter(sunrise); let beforeSunset = currentTime.isBefore(sunset);  if (afterSunrise && beforeSunset) {    Govee.lightBrightness.skip(`Its still daytime so we're leaving the lights off`); }
13,"Enter your home address on the map and when you enter the radius your Hue lights will turn on, unless it's still light outside!","Enter your home address on the map and when you enter the radius your Hue lights will turn on, unless it's still light outside!
###
Code:
let sunrise = moment(Weather.currentWeather[0].SunriseAt); let sunset = moment(Weather.currentWeather[0].SunsetAt); let currentTime = Meta.currentUserTime; let afterSunrise = currentTime.isAfter(sunrise); let beforeSunset = currentTime.isBefore(sunset);  if (afterSunrise && beforeSunset) {   Hue.turnOnAllHue.skip(`",var timeOfDay = Meta.currentUserTime.hour()  if (timeOfDay >= 7 && timeOfSun < 19) {   Hue.turnOnAllHue.skip() },"Enter your home address on the map and when you enter the radius your Hue lights will turn on, unless it's still light outside!
###
var sunrise = moment(Weather.currentWeather[0].SunriseAt); var sunset = moment(Weather.currentWeather[0].SunsetAt); var currentTime = Meta.currentUserTime; var afterSunrise = currentTime.isAfter(sunrise); var beforeSunset = currentTime.isBefore(sunset);  if (afterSunrise && beforeSunset) {   Hue.turnOnAllHue.skip(`Its still daytime so we're leaving the lights off`) } else {   Hue.turnOnAllHue.setBrightness(`255`)  }  ###",let sunrise = moment(Weather.currentWeather[0].SunriseAt); let sunset = moment(Weather.currentWeather[0].SunsetAt); let currentTime = Meta.currentUserTime; let afterSunrise = currentTime.isAfter(sunrise); let beforeSunset = currentTime.isBefore(sunset);  if (afterSunrise && beforeSunset) {    Hue.turnOnAllHue.skip(`Its still daytime so we're leaving the lights off`); }
14,Used to automatically post files from a specific Google Drive folder into a Slack channel of your choosing.,"Used to automatically post files from a specific Google Drive folder into a Slack channel of your choosing.
###
Code:
var path = Meta.currentUserTime.locale('en').split('\');  Slack.postToChannel.setMessage(path.join("" "", path.join("" "", path.join("" "", path.join("" "", path.join("" "", path.join("" "", path.join("" "", path.join("" "", path.join("" "", path.join("" "", path.join("" "", path.join("" "", path.join("" "", path.join("" "", path.join("" "",",if (Trigger.Filename.match(/~\$/i)) {  Slack.postToChannel.skip('Temp File Was Skipped') },"Used to automatically post files from a specific Google Drive folder into a Slack channel of your choosing.
###
var folderId = ""15gH8wWj2-n21f1WcjZmUmWyM12bvKD0x""; var file = Feed.newFeedItemFromFolder.File; if (file.FolderId != folderId) {   Slack.postToChannel.skip(""Not in folder: "" + folderId); } else {   Slack.postToChannel.setMessage(file.DownloadUrl); }
###",if (Trigger.Filename.match(/~\$/i)) {  Slack.postToChannel.skip('Temp File Was Skipped')  }
15,"Whenever you come home, turn on your lights automatically unless it's currently sunny outside.","Whenever you come home, turn on your lights automatically unless it's currently sunny outside.
###
Code:
var timeOfDay = Meta.currentUserTime.hour()  if (timeOfDay >= 22 || timeOfDay < 8 ) {     IfNotifications.sendNotification.skip(""Outside of daytime hours"") } else {      IfNotifications.sendNotification.skip(""Not a weekday"") }     } else {     IfNotifications.sendNotification.skip(""Not working hours"") }    }   else {",let sunrise = moment(Weather.currentWeather[0].SunriseAt); if (sunrise && sunset) {   Wyzecam.poweron.skip(`Its still daytime so we're leaving the lights off`); },"Whenever you come home, turn on your lights automatically unless it's currently sunny outside.
###
var sunrise = moment(Weather.currentWeather[0].SunriseAt); var sunset = moment(Weather.currentWeather[0].SunsetAt); var currentTime = Meta.currentUserTime; var afterSunrise = currentTime.isAfter(sunrise); var beforeSunset = currentTime.isBefore(sunset);  if (afterSunrise && beforeSunset) {    } else {     Kasa.turnOn.skip(`We're saving energy by not turning on lights when it's still sunny outside`); }",let sunrise = moment(Weather.currentWeather[0].SunriseAt); let sunset = moment(Weather.currentWeather[0].SunsetAt); let currentTime = Meta.currentUserTime; let afterSunrise = currentTime.isAfter(sunrise); let beforeSunset = currentTime.isBefore(sunset);  if (afterSunrise && beforeSunset) {    Magichue.poweron.skip(`Its still daytime so we're leaving the lights off`); }
16,"Your phone will be called with the specified message if Arlo detects motion, but only after 9pm and until 8am.","Your phone will be called with the specified message if Arlo detects motion, but only after 9pm and until 8am.
###
Code:
var hour = Meta.triggerTime.hour()    if (hour < 22 || hour > 8) {   Arlo.callMyDevice.skip()  }   else {    Arlo.callMyDevice.setMessage(`Your phone is calling today!`)  }    else {    Arlo.callMyDevice.setMessage(`Your phone is currently charging! You should probably turn it on!","var hour = Meta.triggerTime.hour()  if (hour < 8 && hour > 21) {   PhoneCall.callMyPhone.skip(""Too late"") }","Your phone will be called with the specified message if Arlo detects motion, but only after 9pm and until 8am.
###
var timeOfDay = Meta.currentUserTime.hour()    if (timeOfDay >= 8 && timeOfDay < 21) {    PhoneCall.callMyPhone.skip()  } else {    PhoneCall.callMyPhone.setMessage(Arlo.motionDetectedByCamera)  }",var hour = Meta.triggerTime.hour(); if (hour > 8 && hour < 21) {   PhoneCall.callMyPhone.skip(); }
17,Twitter every time LumanyGameplay publishes a new video containing the word fantasy in the title,"Twitter every time LumanyGameplay publishes a new video containing the word fantasy in the title
###
Code:
let title=Youtube.newPublicVideoFromSubscriptions.Title; if(title.toUpperCase().indexOf(""FANTASY"") ==-1){   LumanyGameplay.postNewTweet.skip(""Not Contains the word""+title+""in the title""); } else{   LumanyGameplay.postNewTweet.setUrl(title+""in the title""); } } else{   LumanyGameplay.postNewTweet.setUrl(""https: ","let title=Youtube.newPublicVideoFromSubscriptions.Title; if(title.toUpperCase().indexOf(""FANTASY"") ==-1){   Twitter.postNewTweet.skip(""Not Contains the word""+title+""in the title""); }","Twitter every time LumanyGameplay publishes a new video containing the word fantasy in the title.
###
if (Twitter.newTweetByUser.Text.indexOf(""fantasy"") == -1) {   Twitter.postNewTweet.setMessage(""No new video with 'fantasy' in the title."") } else {   YouTube.newPublicVideoFromSubscriptions.setMessage(""New video from LumanyGameplay: "" + YouTube.newPublicVideoFromSubscriptions.Title)   Twitter.postNewTweet.setMessage(YouTube.newPublicVideoFromSubscriptions.Title) }    Twitter.postNewTweet.setAwaitReply(false)    Twitter.postNewTweet.setUseSubstitutions(true)    Twitter.postNewTweet.setPostInProfileMessage(false)    Twitter.postNewTweet.setIncludeWebPagePreviews(true)    Twitter.postNewTweet.setImageAspectRatio(null)    Twitter.postNewTweet.setTwitterAddComment(null)    Twitter.postNewTweet.setTwitterAddUrl(null)    Twitter.postNewTweet.setTwitterAddUser(null)    Twitter.postNewTweet.setTwitterAddHashtag(null)    Twitter.postNewTweet.setPostAsDraft(false)    Twitter.postNewTweet.setPostInDirectory(null)    Twitter.postNewTweet.setRecipientId(null)    Twitter.postNewTweet.setRecipientUserName(null)    Twitter.postNewTweet.setRecipientEmail(null)    Twitter.postNewTweet.setIncludeUserEmail(false)    Twitter.postNewTweet.setSendNotificationEmail(false)    Twitter.postNewTweet.setSendNotificationToPhone(false)    Twitter.postNewTweet.setSendNotificationToTwitter(true)    Twitter.postNewTweet.setSendNotificationToFacebook(false)    Twitter.postNewTweet.setSendNotificationToLinkedIn(false)    Twitter.postNewTweet.setSendNotificationToSms(false)    Twitter.postNewTweet.setSendNotificationToChatapp(false)    Twitter.postNewTweet.setSendNotificationToWhatsApp(false)","let title=Youtube.newPublicVideoFromSubscriptions.Title; if(title.toUpperCase().indexOf(""FANTASY"") ==-1){   Twitter.postNewTweet.skip(""Not Contains the word""+title+""in the title""); }"
18,"When spending on entertainment, take the amount from a Pot of your choosing","When spending on entertainment, take the amount from a Pot of your choosing
###
Code:
if ( Monzo.cardPurchase.Category == ""Entertainment"" ) {   Monzo.potWithdraw.setAmount(Monzo.cardPurchase.AmountInAccountCurrency)  } else {   Monzo.potWithdraw.skip(""Not an Entertainment Purchase"")  }  } else {   Monzo.potWithdraw.setAmount(Monzo.cardPurchase.AmountInAccountCurrency)  }  } else {   Monzo.potWithdraw.skip(""Not","if ( Monzo.cardPurchase.Category == ""Entertainment"" ) {    if (Monzo.potWithdraw.AmountInAccountCurrency.indexOf(""$10"") == -1) {  }","When spending on entertainment, take the amount from a Pot of your choosing
###
if(Monzo.potDeposit.Amount<1){    Monzo.potWithdraw.setAmount(Number(Entertainment.isWatchingTV.Amount))    Monzo.potWithdraw.setPot(""Watching TV Pot"")  }  else if(Monzo.potDeposit.Amount<2){    Monzo.potWithdraw.setAmount(Number(Entertainment.readingABook.Amount))    Monzo.potWithdraw.setPot(""Reading Pot"")  }  else if(Monzo.potDeposit.Amount<3){    Monzo.potWithdraw.setAmount(Number(Entertainment.playingANewGame.Amount))    Monzo.potWithdraw.setPot(""Gaming Pot"")  }  else if(Monzo.potDeposit.Amount<4){    Monzo.potWithdraw.setAmount(Number(Entertainment.cooking.Amount))    Monzo.potWithdraw.setPot(""Cooking Pot"")  }  else if(Monzo.potDeposit.Amount<5){    Monzo.potWithdraw.setAmount(Number(Entertainment.playingMusic.Amount))    Monzo.potWithdraw.setPot(""Music Pot"")  }  else if(Monzo.potDeposit.Amount<6){    Monzo.potWithdraw.setAmount(Number(Entertainment.painting.Amount))    Monzo.potWithdraw.setPot(""Painting Pot"")  }  else if(Monzo.potDeposit.Amount<7){    Monzo.potWithdraw.setAmount(Number(Entertainment.juggling.Amount))    Monzo.potWithdraw.setPot(""Juggling Pot"")  }  else if(Monzo.potDeposit.Amount<8){    Monzo.potWithdraw.setAmount(Number(Entertainment.photography.Amount))    Monzo.potWithdraw.setPot(""Photography Pot"")  }  else{    Monzo.potWithdraw.skip()  }","if ( Monzo.cardPurchase.Category == ""Entertainment"" ) {    Monzo.potWithdraw.setAmount(Monzo.cardPurchase.AmountInAccountCurrency)  } else {    Monzo.potWithdraw.skip(""Not an Entertainment Purchase"")  }"
19,"When tomorrow's forecast has a low temperature of 40F to 50F, add an all-day calendar event mentioning which drawer to get dressed from.","When tomorrow's forecast has a low temperature of 40F to 50F, add an all-day calendar event mentioning which drawer to get dressed from.
###
Code:
var hour = Meta.triggerTime.hour()    if (hour < 40 || hour > 50) {      IfNotifications.sendNotification.skip(""Too late"") }    else {      IfNotifications.sendNotification.skip(""Not dressed"") }     else {      IfNotifications.sendNotification.skip(""Not dressed"") }",if (parseInt(Weather.tomorrowsWeatherAtTime.LowTempFahrenheit) > 50) {   GoogleCalendar.addDetailedEvent.skip(); },"When tomorrow's forecast has a low temperature of 40F to 50F, add an all-day calendar event mentioning which drawer to get dressed from.
###
var temp = parseInt(Weather.tomorrowsWeatherAtTime.ForecastLow TemperatureFahrenheit); if (temp >= 50 && temp <= 40) {    GoogleCalendar.addDetailedEvent.setSubject(""Get dressed from Drawer 1""); } else {    GoogleCalendar.addDetailedEvent.skip(""Too warm""); }",if (parseInt(Weather.tomorrowsWeatherAtTime.LowTempFahrenheit) < 40) {   GoogleCalendar.addDetailedEvent.skip(); }  if (parseInt(Weather.tomorrowsWeatherAtTime.LowTempFahrenheit) > 50) {   GoogleCalendar.addDetailedEvent.skip(); }
20,"Turn on Wemo Switch After Garage Door Opens (After 5pm). Uses MyQ to detect garage door open and if it's after 5pm it will turn on Wemo switch; otherwise, it won't do anything.","Turn on Wemo Switch After Garage Door Opens (After 5pm). Uses MyQ to detect garage door open and if it's after 5pm it will turn on Wemo switch; otherwise, it won't do anything.
###
Code:
var hour = Meta.triggerTime.hour()   if (hour < 22 || hour > 5) {   WemoSwitch.turnOn.skip()  } else {   WemoSwitch.turnOn.skip()  }   if (hour >= 17 || hour > 19) {   WemoSwitch.turnOn.skip() ",var timeOfDay = Meta.currentUserTime.hour()   if (timeOfDay > 17 || timeofDay < 5) {    WemoSwitch.attributeOnDiscrete.skip()  },"Turn on Wemo Switch After Garage Door Opens (After 5pm). Uses MyQ to detect garage door open and if it's after 5pm it will turn on Wemo switch; otherwise, it won't do anything.
###
if (Meta.currentUserTime < ""17:00:00"") {    WemoSwitch.attributeLightOnDiscrete.skip();  } else {    WemoSwitch.attributeLightOnDiscrete.execute();  }","var hour     = Meta.currentUserTime.hour() if (hour < 17) {   WemoSwitch.attributeSocketOnDiscrete.skip(""not in hour timing"") }"
21,This Applet will send you and email when a DART rider alert goes out during weekday commuting hours (7-10am and 5-7pm).,"This Applet will send you and email when a DART rider alert goes out during weekday commuting hours (7-10am and 5-7pm).
###
Code:
var Hour = Meta.currentUserTime.hour() var Day = Meta.currentUserTime.day()    if (Hour <7 || Hour > 10) {   Email.sendMeEmail.skip(""Outside of commuting hours"") }    if (Day == 6 || Day == 7) {   Email.sendMeEmail.skip(""Not a weekday"") }    if (Hour > 19 || Hour","var Hour = Meta.currentUserTime.hour() var Day    Hour <7 || (Hour > 10 && Hour < 17) || Hour > 19) {   IfNotifications.sendNotification.skip(""Outside of commuting hours"") }   if (Day == 6 || Day == 7){   Email.sendMeEmail.skip('Not a weekday') }","This Applet will send you and email when a DART rider alert goes out during weekday commuting hours (7-10am and 5-7pm).
###
var Hour = Meta.currentUserTime.hour() var Day = Meta.currentUserTime.day()   if (Hour < 7 || (Hour > 10 && Hour < 17) || Hour > 19 ) {     Email.sendMeEmail.skip(`Not commuting hours`) }   if (Day == 6 || Day == 7) {     Email.sendMeEmail.skip(`Not weekday`) }   DartRiderAlert.triggerAlert.then(function(alertText){     Email.sendMeEmail.setSubject(`DART Alert: ${alertText}`)     Email.sendMeEmail.setBody(`${alertText}`) })","var Hour = Meta.currentUserTime.hour() var Day = Meta.currentUserTime.day()   if (Hour <7 || (Hour > 10 && Hour < 17) || Hour > 19) {   Email.sendMeEmail.skip(""Outside of commuting hours"") }   if (Day == 6 || Day == 7) {   Email.sendMeEmail.skip(""Not a weekday"") }"
22,Twitter every time The_DannyCraft publishs a new video containing the word fantasy in the title,"Twitter every time The_DannyCraft publishs a new video containing the word fantasy in the title
###
Code:
var title = Trigger.EntryTitle var keyword1 = 'FANTASY'  var keyword2 = 'MOSTLY DREAMS'  var keyword3 = 'ARTICLES'  var keyword4 = 'ARTICLES ABOUT DIFFERENT ARTICLES'  var keyword5 = 'ARTICLES ABOUT DIFFERENT ARTICLES ABOUT DIFFERENT ARTICLES'  var keyword6 = 'ARTICLES ABOUT DIFFERENT DIFFERENT DIF","let title=Youtube.newPublicVideoFromSubscriptions.Title; if(title.toUpperCase().indexOf(""FANTASY"") ==-1){   Twitter.postNewTweet.skip(""Not Contains the word""+title+""in the title""); }","Twitter every time The_DannyCraft publishs a new video containing the word fantasy in the title
###
var title = Youtube.newPublicVideoFromSubscriptions.Title;  if (title.indexOf(""fantasy"") < 0) {   Twitter.postNewTweet.skip();  }  else {   Twitter.postNewTweet.setTweet(""#newYoutubeFantasyVideo by The_DannyCraft #newvideo #fantasy"");  }","let title=Youtube.newPublicVideoFromSubscriptions.Title; if(title.toUpperCase().indexOf(""FANTASY"") ==-1){   Twitter.postNewTweet.skip(""Not Contains the word""+title+""in the title""); }"
23,This applet will send your robot back to the dock when you get home after 5pm.,"This applet will send your robot back to the dock when you get home after 5pm.
###
Code:
var hour = Meta.currentUserTime.hour()    if (hour < 22 || hour > 5) {        IfNotifications.sendNotification.skip(""Too late"") }     else {         IfNotifications.sendNotification.skip(""Not connected"") }                             ",var timeOfDay = Meta.currentUserTime.hour()   if (timeOfDay > 17 || timeHour < 5) {    AndroidDevice.sendDeviceBack.skip()  },"This applet will send your robot back to the dock when you get home after 5pm.
###
var hour = Meta.currentUserTime.hour()  if (hour < 17) {    RobotOS.returnToDock.skip(""Too early"")  } else {    RobotOS.returnToDock.go()  }",var timeOfDay = Meta.currentUserTime.hour();    if (timeOfDay > 0 && timeOfDay < 17) {    Irobot.dockRobot.skip()  }
24,ifttjx6TX3gy: New article in folder News > email,"ifttjx6TX3gy: New article in folder News > email
###
Code:
var hour = Meta.triggerTime.hour()       if (hour < 22 || hour > 9) {       Email.sendMeEmail.skip(""Too late"") }       if (hour > 19 && hour < 9) {      Email.sendMeEmail.skip(""Not Late"") }       if (hour > 19 && hour < 9) {     Email.sendMeEmail.",var hour = Meta.currentUserTime.hour()    if(hour<8 || hour>=21){   Email.sendMeEmail.skip()  },"ifttjx6TX3gy: New article in folder News > email
###
var hour = Meta.currentUserTime.hour()  var timeHour = 24    if(hour%timeHour > 0)    Email.sendMeEmail.skip()  else    Email.sendMeEmail.setSubject(Article.title)    Email.sendMeEmail.setBody(Article.content)    Email.sendMeEmail.setPlainTextBody(Article.content)  }
###","var hour = Meta.currentUserTime.hour()  var wday = Meta.currentUserTime.format('dddd').toLowerCase()    if(hour<8 || hour>=21 || (!wday.match(""sat"") && !wday.match(""sun"") && hour>=9 && hour<17) || (wday.match(""fri"") && hour>=17 && hour<19) || ((wday.match(""sat"") || wday.match(""sun"")) && hour<12)){    Email.sendMeEmail.skip()  }"
25,facebook only text post,"facebook only text post to runday
###
Code:
var hour = Meta.triggerTime.hour()  var minute = Meta.triggerTime.minute()                                                                                             ","var text = FacebookPages.newStatusMessageByPage.Text.replace(/.*/g, """");   if(text.indexOf(text) < 0) {    IfNotifications.sendNotification.skip(""Not related to FacebookPages"") }","facebook only text post to a new topic on slack
###
var Message = FacebookPages.newPagePostMessage.Message  Slack.postToChannel.setMessage(Message)   Slack.postToChannel.addToQueue()  Slack.postToChannel.sendToChannel()   FacebookPages.newPagePostMessage.sendRepliesToFeed.skip('Posted to Slack')
###",Facebook.newStatusMessageByYou.From Facebook.newStatusMessageByYou.Message Facebook.newStatusMessageByYou.UpdatedAt
26,Sleep peacefully knowing you will receive a phone call alert if your door is opened during sleeping hours (10pm to 6am).,"Sleep peacefully knowing you will receive a phone call alert if your door is opened during sleeping hours (10pm to 6am).
###
Code:
var timeOfDay = Meta.currentUserTime.hour()   if (timeOfDay > 22 || timeOfDay < 6) {     IfNotifications.sendNotification.skip(""Not a weekday"") }   else {      IfNotifications.sendNotification.skip(""Not sleeping hours"") }      } else {      IfNotifications.sendNotification.skip(""Not","var hour = Meta.currentUserTime.hour()  if (hour < 22 && hour > 6) {   PhoneCall.callMyPhone.skip(""Not during sleeping hours"") }","Sleep peacefully knowing you will receive a phone call alert if your door is opened during sleeping hours (10pm to 6am).
###
if (Meta.currentUserTime.hour() < 22 || Meta.currentUserTime.hour() > 6) {   PhoneCall.callMyPhone.skip() } else {   IfNotifications.sendNotification.skip() }","var hour = Meta.currentUserTime.hour()  if (hour < 22 && hour > 6) {   PhoneCall.callMyPhone.skip(""Not during sleeping hours"") }  else{  }"
27,Videos of YouTube subscriptions to Todoist - links open in ProTube,"Videos of YouTube subscriptions to Todoist - links open in ProTube
###
Code:
var url = 'https: //www.youtube.com/user/2?hl=en&w=2&ts=1&ved=0&ved_dd=0&ved_dd_msec=0'  var url_format = 'utf-8'  var url_format2 = 'utf-8'  var url_format3 = 'utf-8'  var url_format4 = 'utf-8'  var url_format5 = 'utf-8'","var url = url.replace(/(https?:\/\/v=youtu\.be\/)/g, "";  var ID = url;    if(url[2] !== undefined) {   Todoist.createTask.skip(""Not related to YouTube"") }","Videos of YouTube subscriptions to Todoist - links open in ProTube
###
var timeOfDay = Meta.currentUserTime.hour()  if (timeOfDay >= 22 || timeOfDay < 7) {    ProTube.setAutoplay.skip()  } else {    ProTube.setAutoplay.play()  }
###
var tags = Trigger.EntryTags  if (tags.length > 0 && tags[0] == ""youtube"") {    Todoist.setTask.skip()  } else {    Todoist.setTask.addToTodoList.setTaskTitle(Trigger.EntryTitle + ""\n\n"" + Trigger.EntryLink)  }
###
if (timeOfDay >= 7 && timeOfDay < 10) {    Todoist.setTask.skip()  } else {    Todoist.setTask.sendNotification.skip()  }","var url;    url=Youtube.newPublicVideoFromSubscriptions.Url  var ID;    url = url.replace(/(>|<)/gi,'').split(/(vi\/|v=|\/v\/|youtu\.be\/|\/embed\/)/);    if(url[2] !== undefined) {      ID = url[2].split(/[^0-9a-z_\-]/i);      ID = ID[0];    }    else {      ID = url;    }    Todoist.createTask.setTaskContent(""pt2:"
28,"This will automatically turn on the WiZ light(s) of your choice when you enter the area you have defined, unless it's currently sunny outside.","This will automatically turn on the WiZ light(s) of your choice when you enter the area you have defined, unless it's currently sunny outside.
###
Code:
var timeOfDay = Meta.currentUserTime.hour()  if (timeOfDay >= 22 || timeOfDay < 8 ) {     WemoLight.attributeWemoOnDiscrete.skip()  } else {    WemoLight.attributeWemoOnDiscrete.setBrightnessAllowed()  }    WemoLight.attributeWemoOnDiscrete.skip()  } ",if (parseInt(Weather.currentWeather[0].SunriseAt);    !==SunsetAt) {   WiZLighting.attributeLsOnDiscrete.skip()  },"This will automatically turn on the WiZ light(s) of your choice when you enter the area you have defined, unless it's currently sunny outside.
###
var meta:any = Trigger.EntryTrigger.Metadata var afterHours:number = parseInt(meta.afterHours, 10); var afterHoursInMinutes:number = afterHours * 60; var sunrise:any = moment(Weather.currentWeather[0].SunriseAt); var sunset:any = moment(Weather.currentWeather[0].SunsetAt); var currentTime:any = moment(); var currentTimeAfterSunrise:boolean = currentTime.isAfter(sunrise); var currentTimeBeforeSunset:boolean = currentTime.isBefore(sunset); if (currentTimeAfterSunrise && currentTimeBeforeSunset) {   WiZ.turnOn.skip(`It's currently daytime, so we're skipping the turn on command`); } else {   WiZ.turnOn.wait(afterHoursInMinutes); }",let sunrise = moment(Weather.currentWeather[0].SunriseAt); let sunset = moment(Weather.currentWeather[0].SunsetAt); let currentTime = Meta.currentUserTime; let afterSunrise = currentTime.isAfter(sunrise); let beforeSunset = currentTime.isBefore(sunset);  if (afterSunrise && beforeSunset) {    Wiz.turnOn.skip(`Its still daytime so we're leaving the lights off`); }
29,"The app sends you notifications for stories by The verge, between 8 Am and 11 PM and saves stories to Feedly during silent hours.","The app sends you notifications for stories by The verge, between 8 Am and 11 PM and saves stories to Feedly during silent hours.
###
Code:
var timeOfDay = Meta.currentUserTime.hour()    if (timeOfDay > 22 || timeOfDay < 8 ) {        Feedly.createNewEntryFeedly.skip(""Too late"") }    else {        Feedly.createNewEntryFeedly.skip(""Not a weekday"") }       }   else {   ","var timeOfDay = Meta.currentUserTime.hour()   if (timeOfDay > 22 || timeOfNight < 8 ) {   IfNotifications.sendNotification.skip(""Too late"") }","The app sends you notifications for stories by The verge, between 8 Am and 11 PM and saves stories to Feedly during silent hours.
###
var title = Trigger.EntryTitle var hour = Meta.currentUserTime.hour()  if (hour < 22 && hour > 7) {    IfNotifications.sendNotification.setMessage(title)  }  else {    Feedly.createNewEntryFeedly.setUrl(Trigger.EntryUrl)  }    Feedly.createNewEntryFeedly.setUserVisible(false)  IfNotifications.sendNotification.setSound('glass')","var timeOfDay = Meta.currentUserTime.hour();    if (timeOfDay > 22 || timeOfDay < 8) {    IfNotifications.sendNotification.skip(""Too late; saving to Feedly"");  } else {    Feedly.createNewEntryFeedly.skip(""Sending notification instead"");  }"
30,"If gcal has an event named ""Work"" set the Ecobee to away until transition.","If gcal has an event named ""Work"" set the Ecobee to away until transition.
###
Code:
var hour = Meta.triggerTime.hour()    if (hour < 22 || hour > 9) {   Ecobee.away.skip() }   else {   Ecobee.away.setScene.skip() }   }    Ecobee.away.setScene.setSceneAlignment(Ecobee.away.setSceneAlignment(0.0, 0))   }    Ecobee.away.","if (GoogleCalendar.eventFromSearchStarts.Title.toUpperCase() != ""WORK"") {   Ecobee.climateNextTransition.skip() }","If gcal has an event named ""Work"" set the Ecobee to away until transition.
###
var timeOfDay = Meta.currentUserTime.hour()  if (timeOfDay > 8 && timeOfDay < 18) {    Ecobee.setSchedule.skip(""Outside of work hours"")  } else {    Ecobee.setSchedule.setTransitionHour(22).setTransitionDay(1).setTransitionMonth(12).setMode(""Away"")  }","if (GoogleCalendar.eventFromSearchStarts.Title.toUpperCase() != ""WORK"") {   Ecobee.climateNextTransition.skip() }"
31,This Applet posts to a Slack channel when there's a service alert on Rapid Ride D line between the hours of 7-10am.,"This Applet posts to a Slack channel when there's a service alert on Rapid Ride D line between the hours of 7-10am.
###
Code:
var Hour = Meta.currentUserTime.hour()    if (Hour < 7 || Hour > 10) {   Slack.postToChannel.skip(""Outside of commuting hours"") }   if (Hour > 19 || Hour > 10) {   Slack.postToChannel.skip(""Not a weekday"") }   if (Hour < 17 || Hour > 10) {   Slack.postToChannel.skip(""Not commuting","var Hour = Meta.currentUserTime.hour()   if (Hour < 7 || Hour > 10) {   Slack.postToChannel.skip(""Outside of commuting hours"") }","This Applet posts to a Slack channel when there's a service alert on Rapid Ride D line between the hours of 7-10am.
###
var Hour = Meta.currentUserTime.hour()  if (Hour <7 || Hour > 10) {    Slack.postToChannel.skip(""Outside of commuting hours"")  } else {    RapidRide.serviceAlertsOnRapidRideDLine.postToSlack.skip(""No service alert"")  }","var Hour = Meta.currentUserTime.hour()   if (Hour < 7 || Hour > 10) {   Slack.postToChannel.skip(""Outside of commuting hours"") }"
